return_id,order_id,return_date,return_reason,refund_amount,restockable_flag
RET-900169,ORD-501648,2026-03-02,Late delivery,388.02,1
RET-900170,ORD-501658,2026-02-25,Late delivery,155.28,1
RET-900171,ORD-501669,2026-02-28,Changed mind,33.23,1
RET-900172,ORD-501673,2026-03-07,Damaged,26.51,0
RET-900173,ORD-501682,2026-02-25,Changed mind,251.5,1
RET-900174,ORD-501684,2026-02-28,Wrong item,165.75,0
RET-900175,ORD-501689,2026-03-02,Late delivery,66.39,1
RET-900176,ORD-501702,2026-03-02,Late delivery,105.67,1
RET-900177,ORD-501703,2026-03-05,Late delivery,94.46,1
RET-900178,ORD-501707,2026-02-22,Damaged,89.55,1
RET-900179,ORD-501709,2026-02-26,Quality issue,21.12,1
RET-900180,ORD-501721,2026-03-12,Late delivery,80.49,1
RET-900181,ORD-501737,2026-02-25,Wrong item,466.62,1
RET-900182,ORD-501740,2026-03-12,Quality issue,152.26,1
RET-900183,ORD-501764,2026-03-01,Changed mind,153.61,1
RET-900184,ORD-501765,2026-03-11,Changed mind,63.42,0
RET-900185,ORD-501770,2026-03-02,Quality issue,218.2,0
RET-900186,ORD-501777,2026-03-01,Changed mind,115.15,1
RET-900187,ORD-501818,2026-02-25,Changed mind,232.91,1
RET-900188,ORD-501829,2026-03-11,Changed mind,155.1,0
RET-900189,ORD-501830,2026-03-09,Late delivery,114.0,1
RET-900190,ORD-501832,2026-03-08,Changed mind,194.7,1
RET-900191,ORD-501835,2026-03-14,Late delivery,58.93,0
RET-900192,ORD-501859,2026-03-16,Damaged,204.26,1
RET-900193,ORD-501867,2026-02-25,Late delivery,198.53,1
RET-900194,ORD-501879,2026-03-14,Damaged,106.71,0
RET-900195,ORD-501882,2026-03-06,Quality issue,28.07,0
RET-900196,ORD-501904,2026-03-12,Quality issue,100.78,1
RET-900197,ORD-501920,2026-03-11,Damaged,582.08,0
RET-900198,ORD-501923,2026-03-16,Quality issue,165.47,1
RET-900199,ORD-501925,2026-03-05,Wrong item,92.32,1
RET-900200,ORD-501928,2026-03-14,Wrong item,266.91,1
RET-900201,ORD-501929,2026-02-25,Late delivery,335.62,1
RET-900202,ORD-501939,2026-02-28,Changed mind,361.07,0
RET-900203,ORD-501946,2026-03-15,Late delivery,167.68,1
RET-900204,ORD-501965,2026-03-12,Quality issue,135.77,1
RET-900205,ORD-501983,2026-03-13,Late delivery,92.31,1
RET-900206,ORD-501990,2026-03-05,Damaged,123.98,1
RET-900207,ORD-502001,2026-03-13,Damaged,80.8,0
RET-900208,ORD-502024,2026-03-13,Late delivery,95.94,1
RET-900209,ORD-502037,2026-03-05,Late delivery,177.15,1
RET-900210,ORD-502045,2026-03-02,Late delivery,433.45,0
RET-900211,ORD-502048,2026-03-15,Late delivery,28.03,0
RET-900212,ORD-502052,2026-03-08,Changed mind,98.62,0
RET-900213,ORD-502062,2026-03-11,Changed mind,134.09,1
RET-900214,ORD-502066,2026-03-19,Late delivery,116.87,1
RET-900215,ORD-502070,2026-03-16,Changed mind,63.63,0
RET-900216,ORD-502097,2026-03-14,Quality issue,80.01,1
RET-900217,ORD-502108,2026-03-13,Late delivery,150.75,1
RET-900218,ORD-502135,2026-03-19,Damaged,77.52,1
RET-900219,ORD-502160,2026-03-16,Damaged,472.79,0
RET-900220,ORD-502162,2026-03-09,Wrong item,172.86,1
RET-900221,ORD-502164,2026-03-17,Late delivery,27.02,1
RET-900222,ORD-502167,2026-03-14,Wrong item,423.13,1
RET-900223,ORD-502173,2026-03-15,Wrong item,101.75,1
RET-900224,ORD-502176,2026-03-10,Damaged,172.53,1
RET-900225,ORD-502177,2026-03-20,Late delivery,49.78,1
RET-900226,ORD-502178,2026-03-19,Late delivery,61.09,1
RET-900227,ORD-502183,2026-03-24,Wrong item,33.7,1
RET-900228,ORD-502189,2026-03-13,Damaged,108.44,1
RET-900229,ORD-502196,2026-03-17,Changed mind,174.85,0
RET-900230,ORD-502197,2026-03-19,Damaged,33.16,1
RET-900231,ORD-502198,2026-03-04,Changed mind,619.93,1
RET-900232,ORD-502211,2026-03-24,Changed mind,192.93,1
RET-900233,ORD-502212,2026-03-24,Quality issue,65.28,1
RET-900234,ORD-502221,2026-03-19,Wrong item,184.8,0
RET-900235,ORD-502233,2026-03-22,Changed mind,60.34,1
RET-900236,ORD-502235,2026-03-25,Quality issue,61.47,0
RET-900237,ORD-502237,2026-03-14,Damaged,28.45,1
RET-900238,ORD-502241,2026-03-12,Changed mind,538.15,1
RET-900239,ORD-502266,2026-03-15,Late delivery,207.21,1
RET-900240,ORD-502291,2026-03-12,Late delivery,136.74,1
RET-900241,ORD-502303,2026-03-27,Late delivery,108.89,1
RET-900242,ORD-502310,2026-03-20,Changed mind,211.98,1
RET-900243,ORD-502318,2026-03-22,Wrong item,220.55,1
RET-900244,ORD-502322,2026-03-17,Quality issue,166.01,1
RET-900245,ORD-502323,2026-03-12,Quality issue,276.77,1
RET-900246,ORD-502343,2026-03-18,Damaged,398.06,1
RET-900247,ORD-502353,2026-03-24,Wrong item,31.92,1
RET-900248,ORD-502356,2026-03-24,Quality issue,280.45,1
RET-900249,ORD-502363,2026-03-19,Quality issue,133.42,1
RET-900250,ORD-502370,2026-03-15,Late delivery,99.15,1
RET-900251,ORD-502377,2026-03-17,Quality issue,360.17,1
RET-900252,ORD-502390,2026-03-13,Changed mind,154.32,1
RET-900253,ORD-502393,2026-03-24,Damaged,137.82,1
RET-900254,ORD-502443,2026-03-19,Changed mind,83.44,1
RET-900255,ORD-502481,2026-04-01,Late delivery,153.61,1
RET-900256,ORD-502500,2026-03-30,Damaged,167.22,1
RET-900257,ORD-502502,2026-03-31,Quality issue,166.2,1
RET-900258,ORD-502515,2026-03-15,Damaged,196.81,1
RET-900259,ORD-502517,2026-03-30,Damaged,166.15,1
RET-900260,ORD-502525,2026-03-29,Late delivery,102.28,0
RET-900261,ORD-502530,2026-03-16,Changed mind,122.9,1
RET-900262,ORD-502531,2026-04-01,Quality issue,115.87,1
RET-900263,ORD-502534,2026-03-18,Quality issue,651.75,1
RET-900264,ORD-502537,2026-03-16,Late delivery,57.78,1
RET-900265,ORD-502552,2026-03-23,Late delivery,176.05,0
RET-900266,ORD-502553,2026-03-28,Late delivery,177.26,0
RET-900267,ORD-502555,2026-03-27,Damaged,92.72,1
RET-900268,ORD-502561,2026-04-02,Changed mind,97.94,1
RET-900269,ORD-502579,2026-03-19,Late delivery,25.6,1
RET-900270,ORD-502582,2026-03-23,Damaged,150.89,1
RET-900271,ORD-502588,2026-03-18,Wrong item,45.85,1
RET-900272,ORD-502611,2026-03-31,Changed mind,127.41,1
RET-900273,ORD-502614,2026-04-06,Damaged,226.51,1
RET-900274,ORD-502615,2026-03-27,Quality issue,180.4,1
RET-900275,ORD-502623,2026-04-02,Late delivery,79.93,1
RET-900276,ORD-502641,2026-03-21,Quality issue,132.27,1
RET-900277,ORD-502643,2026-03-22,Quality issue,138.79,1
RET-900278,ORD-502645,2026-03-22,Wrong item,177.93,1
RET-900279,ORD-502646,2026-03-19,Changed mind,108.89,1
RET-900280,ORD-502652,2026-03-26,Late delivery,157.43,1
RET-900281,ORD-502654,2026-03-27,Changed mind,827.66,0
RET-900282,ORD-502656,2026-03-26,Late delivery,335.27,1
RET-900283,ORD-502658,2026-03-30,Late delivery,153.76,1
RET-900284,ORD-502694,2026-03-22,Damaged,106.41,0
RET-900285,ORD-502698,2026-03-23,Damaged,165.19,1
RET-900286,ORD-502719,2026-04-04,Wrong item,141.83,1
RET-900287,ORD-502732,2026-03-30,Late delivery,93.65,1
RET-900288,ORD-502738,2026-03-29,Quality issue,114.66,1
RET-900289,ORD-502747,2026-04-04,Late delivery,118.14,0
RET-900290,ORD-502758,2026-03-23,Quality issue,186.68,1
RET-900291,ORD-502761,2026-03-18,Wrong item,123.99,1
RET-900292,ORD-502791,2026-04-09,Damaged,403.21,1
RET-900293,ORD-502824,2026-03-26,Quality issue,172.69,0
RET-900294,ORD-502830,2026-03-30,Wrong item,95.99,0
RET-900295,ORD-502840,2026-03-26,Quality issue,56.05,1
RET-900296,ORD-502853,2026-03-26,Quality issue,313.08,0
RET-900297,ORD-502896,2026-03-23,Quality issue,305.24,1
RET-900298,ORD-502907,2026-03-23,Changed mind,90.15,1
RET-900299,ORD-502908,2026-03-27,Late delivery,383.56,1
RET-900300,ORD-502925,2026-04-10,Damaged,165.61,1
RET-900301,ORD-502926,2026-04-05,Damaged,105.13,0
RET-900302,ORD-502929,2026-04-04,Quality issue,36.52,1
RET-900303,ORD-502931,2026-04-07,Changed mind,149.51,1
RET-900304,ORD-502932,2026-04-04,Wrong item,149.66,1
RET-900305,ORD-502933,2026-04-05,Quality issue,327.39,1
RET-900306,ORD-502936,2026-04-04,Damaged,56.68,1
RET-900307,ORD-502963,2026-03-24,Changed mind,251.74,1
RET-900308,ORD-502965,2026-03-28,Damaged,66.57,0
RET-900309,ORD-502974,2026-03-27,Quality issue,783.6,1
RET-900310,ORD-502989,2026-04-13,Quality issue,259.07,1
RET-900311,ORD-503024,2026-04-01,Damaged,210.29,1
RET-900312,ORD-503028,2026-03-25,Changed mind,74.2,1
RET-900313,ORD-503031,2026-03-24,Damaged,200.03,1
RET-900314,ORD-503043,2026-04-10,Wrong item,79.41,0
RET-900315,ORD-503050,2026-03-30,Changed mind,87.05,0
RET-900316,ORD-503058,2026-03-27,Changed mind,117.88,1
RET-900317,ORD-503067,2026-04-05,Changed mind,31.55,1
RET-900318,ORD-503075,2026-03-30,Changed mind,417.69,0
RET-900319,ORD-503080,2026-04-09,Changed mind,391.12,1
RET-900320,ORD-503081,2026-03-29,Late delivery,137.04,1
RET-900321,ORD-503084,2026-04-13,Late delivery,171.93,1
RET-900322,ORD-503098,2026-04-06,Damaged,91.0,1
RET-900323,ORD-503105,2026-04-07,Wrong item,207.03,0
RET-900324,ORD-503122,2026-04-03,Wrong item,366.37,1
RET-900325,ORD-503130,2026-04-07,Quality issue,47.28,1
RET-900326,ORD-503144,2026-04-15,Damaged,339.22,1
RET-900327,ORD-503154,2026-03-31,Quality issue,190.54,1
RET-900328,ORD-503169,2026-03-31,Late delivery,26.77,1
RET-900329,ORD-503171,2026-04-07,Changed mind,155.31,1
RET-900330,ORD-503173,2026-04-10,Quality issue,125.24,1
RET-900331,ORD-503194,2026-03-29,Quality issue,199.45,1
RET-900332,ORD-503198,2026-04-16,Wrong item,148.49,0
RET-900333,ORD-503206,2026-04-03,Quality issue,230.15,1
RET-900334,ORD-503207,2026-04-02,Wrong item,107.33,0
RET-900335,ORD-503210,2026-03-29,Quality issue,100.2,1
RET-900336,ORD-503215,2026-04-14,Quality issue,145.11,1
RET-900337,ORD-503221,2026-04-04,Damaged,205.63,1
RET-900338,ORD-503243,2026-04-14,Damaged,74.12,1
RET-900339,ORD-503248,2026-04-01,Late delivery,26.32,1
RET-900340,ORD-503256,2026-04-11,Changed mind,177.21,1
RET-900341,ORD-503260,2026-04-03,Changed mind,88.3,0
RET-900342,ORD-503266,2026-04-13,Late delivery,147.32,1
RET-900343,ORD-503269,2026-04-18,Wrong item,27.86,0
RET-900344,ORD-503287,2026-04-04,Quality issue,92.45,1
RET-900345,ORD-503295,2026-04-05,Late delivery,133.08,0
RET-900346,ORD-503297,2026-04-09,Wrong item,103.94,1
RET-900347,ORD-503305,2026-04-06,Late delivery,186.08,1
RET-900348,ORD-503314,2026-04-04,Changed mind,120.43,1
RET-900349,ORD-503331,2026-04-08,Quality issue,89.19,1
RET-900350,ORD-503336,2026-04-05,Damaged,250.6,1
RET-900351,ORD-503343,2026-04-02,Quality issue,110.38,1
RET-900352,ORD-503344,2026-04-10,Changed mind,130.66,0
RET-900353,ORD-503360,2026-04-15,Late delivery,62.02,1
RET-900354,ORD-503370,2026-04-17,Wrong item,352.1,1
RET-900355,ORD-503381,2026-04-22,Changed mind,176.04,1
RET-900356,ORD-503394,2026-04-14,Quality issue,87.31,1
RET-900357,ORD-503397,2026-04-10,Changed mind,84.5,1
RET-900358,ORD-503398,2026-04-08,Late delivery,426.12,1
RET-900359,ORD-503403,2026-04-13,Changed mind,102.08,1
RET-900360,ORD-503417,2026-04-22,Damaged,77.73,1
RET-900361,ORD-503432,2026-04-14,Late delivery,157.04,1
RET-900362,ORD-503433,2026-04-14,Quality issue,124.61,1
RET-900363,ORD-503444,2026-04-21,Changed mind,74.47,1
RET-900364,ORD-503446,2026-04-11,Quality issue,134.6,0
RET-900365,ORD-503464,2026-04-09,Wrong item,61.93,1
RET-900366,ORD-503501,2026-04-13,Wrong item,207.95,1
RET-900367,ORD-503506,2026-04-10,Damaged,230.56,0
RET-900368,ORD-503508,2026-04-11,Quality issue,173.69,1
RET-900369,ORD-503509,2026-04-18,Wrong item,197.46,0
RET-900370,ORD-503516,2026-04-14,Quality issue,255.61,1
RET-900371,ORD-503547,2026-04-08,Changed mind,544.14,1
RET-900372,ORD-503549,2026-04-17,Late delivery,353.35,1
RET-900373,ORD-503553,2026-04-25,Late delivery,104.62,1
RET-900374,ORD-503555,2026-04-11,Damaged,311.1,1
RET-900375,ORD-503560,2026-04-08,Damaged,34.78,0
RET-900376,ORD-503563,2026-04-12,Damaged,397.06,1
RET-900377,ORD-503611,2026-04-08,Damaged,198.14,0
RET-900378,ORD-503618,2026-04-22,Wrong item,232.88,1
RET-900379,ORD-503628,2026-04-21,Wrong item,29.73,1
RET-900380,ORD-503652,2026-04-21,Quality issue,769.43,1
RET-900381,ORD-503677,2026-04-24,Wrong item,70.85,1
RET-900382,ORD-503704,2026-04-23,Quality issue,186.08,1
RET-900383,ORD-503705,2026-04-29,Late delivery,28.41,1
RET-900384,ORD-503710,2026-04-16,Changed mind,111.29,1
RET-900385,ORD-503713,2026-04-28,Changed mind,429.82,1
RET-900386,ORD-503720,2026-04-26,Quality issue,369.82,1
RET-900387,ORD-503726,2026-04-17,Changed mind,93.18,1
RET-900388,ORD-503744,2026-04-29,Changed mind,129.16,1
RET-900389,ORD-503748,2026-04-23,Changed mind,131.36,1
RET-900390,ORD-503761,2026-04-13,Wrong item,185.15,1
RET-900391,ORD-503762,2026-04-20,Damaged,259.28,1
RET-900392,ORD-503766,2026-04-19,Quality issue,28.77,0
RET-900393,ORD-503780,2026-04-13,Wrong item,63.54,1
RET-900394,ORD-503787,2026-04-13,Damaged,601.01,1
RET-900395,ORD-503790,2026-04-26,Late delivery,113.25,0
RET-900396,ORD-503794,2026-05-03,Wrong item,105.45,1
RET-900397,ORD-503809,2026-04-16,Changed mind,138.92,1
RET-900398,ORD-503820,2026-04-25,Quality issue,422.53,1
RET-900399,ORD-503827,2026-04-24,Wrong item,93.14,1
RET-900400,ORD-503839,2026-04-18,Wrong item,162.34,1
RET-900401,ORD-503846,2026-05-01,Wrong item,29.35,0
RET-900402,ORD-503848,2026-04-21,Quality issue,26.29,1
RET-900403,ORD-503851,2026-04-27,Damaged,100.76,1
RET-900404,ORD-503859,2026-04-20,Wrong item,24.62,1
RET-900405,ORD-503865,2026-04-30,Late delivery,168.74,1
RET-900406,ORD-503866,2026-04-17,Quality issue,177.42,1
RET-900407,ORD-503867,2026-04-13,Damaged,93.71,1
RET-900408,ORD-503934,2026-04-20,Wrong item,384.97,1
RET-900409,ORD-503939,2026-04-16,Damaged,273.37,1
RET-900410,ORD-503944,2026-04-22,Wrong item,31.19,1
RET-900411,ORD-503949,2026-04-18,Damaged,168.45,1
RET-900412,ORD-503950,2026-04-29,Wrong item,165.0,1
RET-900413,ORD-503958,2026-05-01,Late delivery,325.13,1
RET-900414,ORD-503963,2026-05-07,Damaged,91.61,0
RET-900415,ORD-503968,2026-05-02,Late delivery,233.93,1
RET-900416,ORD-503975,2026-05-04,Wrong item,66.21,1
RET-900417,ORD-503977,2026-04-20,Wrong item,121.87,0
RET-900418,ORD-504002,2026-04-21,Late delivery,338.97,0
RET-900419,ORD-504023,2026-04-25,Wrong item,122.39,0
RET-900420,ORD-504037,2026-05-01,Quality issue,79.75,1
RET-900421,ORD-504044,2026-04-23,Late delivery,443.32,0
RET-900422,ORD-504045,2026-04-25,Wrong item,169.2,1
RET-900423,ORD-504050,2026-04-19,Late delivery,80.85,1
RET-900424,ORD-504064,2026-04-25,Damaged,112.41,1
RET-900425,ORD-504086,2026-04-29,Wrong item,116.01,0
RET-900426,ORD-504104,2026-04-23,Wrong item,352.07,1
RET-900427,ORD-504105,2026-04-28,Late delivery,106.35,0
RET-900428,ORD-504107,2026-04-24,Late delivery,176.21,1
RET-900429,ORD-504127,2026-04-21,Changed mind,373.78,1
RET-900430,ORD-504145,2026-05-02,Late delivery,61.84,0
RET-900431,ORD-504157,2026-05-09,Wrong item,233.98,1
RET-900432,ORD-504164,2026-05-04,Late delivery,127.28,1
RET-900433,ORD-504167,2026-04-30,Changed mind,86.21,0
RET-900434,ORD-504169,2026-05-10,Wrong item,151.78,0
RET-900435,ORD-504175,2026-05-05,Changed mind,340.99,1
RET-900436,ORD-504176,2026-05-04,Quality issue,271.81,1
RET-900437,ORD-504179,2026-05-10,Wrong item,237.64,0
