request_id,customer_id,customer_segment,channel,account_age_days,prior_transactions_30d,prior_chargebacks_180d,failed_payment_attempts_24h,order_amount,shipping_distance_km,device_age_days,email_domain_age_days,ip_risk_score,billing_shipping_match,velocity_score
REQ-00000041,CUST-20657,small_business,call_center,289,12,0,2,651.98,306.5,939,1901,0.329,False,0.32
REQ-00000042,CUST-44422,small_business,call_center,1,31,1,4,7402.88,3796.4,7,0,0.867,False,0.853
REQ-00000043,CUST-77670,consumer,partner_api,1151,18,1,0,449.61,204.0,400,1440,0.121,True,0.272
REQ-00000044,CUST-74596,small_business,partner_api,30,24,4,7,4146.85,3890.8,2,8,0.787,False,0.895
REQ-00000045,CUST-91859,enterprise,partner_api,1067,17,0,0,518.6,43.4,354,1743,0.243,True,0.243
REQ-00000046,CUST-25388,small_business,partner_api,1095,14,0,2,1616.57,258.8,416,776,0.32,True,0.085
REQ-00000047,CUST-77619,enterprise,partner_api,330,15,0,0,1645.46,95.2,1053,2351,0.334,True,0.07
REQ-00000048,CUST-23315,consumer,mobile,1749,16,0,1,768.51,79.2,407,1870,0.303,True,0.101
REQ-00000049,CUST-49579,consumer,call_center,1164,10,1,1,614.45,10.5,558,1994,0.332,True,0.211
REQ-00000050,CUST-51953,small_business,call_center,1749,8,0,2,1329.92,307.0,167,1821,0.297,True,0.257
REQ-00000051,CUST-12727,enterprise,partner_api,1144,13,0,2,301.44,283.7,882,372,0.318,True,0.323
REQ-00000052,CUST-60971,enterprise,call_center,1605,6,0,2,1282.93,192.5,750,972,0.261,False,0.211
REQ-00000053,CUST-84326,enterprise,partner_api,1321,6,1,0,1477.75,65.9,324,1443,0.277,True,0.35
REQ-00000054,CUST-67386,enterprise,partner_api,832,13,1,0,695.05,81.8,388,1685,0.139,True,0.18
REQ-00000055,CUST-21358,consumer,partner_api,40,25,4,4,3009.76,2211.1,9,7,0.709,True,0.825
REQ-00000056,CUST-69839,small_business,web,1091,9,0,0,837.97,269.9,855,2198,0.261,True,0.374
REQ-00000057,CUST-84966,consumer,web,813,9,0,0,1722.31,114.7,212,1201,0.234,True,0.27
REQ-00000058,CUST-28968,enterprise,call_center,541,9,1,0,930.47,258.3,368,2406,0.13,True,0.309
REQ-00000059,CUST-64783,consumer,web,1777,13,0,0,481.33,126.4,245,381,0.078,True,0.215
REQ-00000060,CUST-87069,consumer,mobile,795,18,0,0,275.37,116.0,98,1050,0.138,True,0.16
REQ-00000061,CUST-63675,enterprise,web,584,7,0,0,743.04,31.5,940,883,0.285,True,0.284
REQ-00000062,CUST-59952,enterprise,call_center,1167,18,0,0,1110.71,52.9,430,2442,0.271,False,0.11
REQ-00000063,CUST-87796,consumer,partner_api,44,55,4,5,6040.75,3277.9,5,6,0.625,False,0.752
REQ-00000064,CUST-84610,consumer,partner_api,1639,11,0,2,1179.04,82.6,416,384,0.203,True,0.281
REQ-00000065,CUST-26511,consumer,mobile,1538,13,0,0,556.46,252.1,842,1908,0.126,True,0.342
REQ-00000066,CUST-14562,consumer,call_center,446,13,0,0,1671.31,83.6,62,1540,0.324,True,0.187
REQ-00000067,CUST-40587,enterprise,mobile,757,4,0,1,1668.03,34.1,91,1392,0.329,True,0.363
REQ-00000068,CUST-89390,small_business,mobile,1138,18,0,0,1122.72,188.0,940,409,0.102,True,0.38
REQ-00000069,CUST-87851,enterprise,web,1277,3,0,0,1462.41,159.1,457,1169,0.197,False,0.118
REQ-00000070,CUST-46857,enterprise,web,658,2,0,0,833.99,275.6,958,356,0.091,True,0.191
REQ-00000071,CUST-84613,consumer,web,953,14,1,1,1594.7,264.7,437,1825,0.305,True,0.411
REQ-00000072,CUST-13075,enterprise,web,7,28,3,4,8114.63,2929.9,4,2,0.905,False,0.909
REQ-00000073,CUST-66926,consumer,mobile,865,5,0,0,758.63,219.2,775,673,0.264,True,0.306
REQ-00000074,CUST-14969,small_business,call_center,505,13,0,0,1395.45,40.2,987,1897,0.346,True,0.447
REQ-00000075,CUST-18186,consumer,call_center,1285,8,0,0,1345.17,302.2,690,251,0.342,True,0.236
REQ-00000076,CUST-86878,enterprise,partner_api,20,46,4,4,8223.44,2142.2,5,26,0.767,False,0.663
REQ-00000077,CUST-65265,consumer,web,1287,9,1,1,1157.71,321.8,196,1736,0.152,True,0.213
REQ-00000078,CUST-98479,small_business,mobile,547,9,0,0,1469.5,123.9,1035,1171,0.107,True,0.274
REQ-00000079,CUST-40680,enterprise,call_center,1163,9,0,1,963.1,182.5,1087,160,0.143,True,0.178
REQ-00000080,CUST-33957,consumer,mobile,1328,18,0,1,1529.69,292.3,549,373,0.209,True,0.198
REQ-00000081,CUST-90015,consumer,web,475,13,0,0,593.92,181.1,1081,2486,0.346,True,0.242
REQ-00000082,CUST-99325,enterprise,partner_api,681,3,1,0,586.04,126.7,487,1414,0.164,True,0.111
REQ-00000083,CUST-65482,small_business,call_center,1468,7,0,2,870.06,119.0,822,2409,0.064,False,0.1
REQ-00000084,CUST-63467,enterprise,partner_api,590,15,0,0,1772.52,161.9,64,2075,0.231,True,0.227
REQ-00000085,CUST-74567,enterprise,call_center,2,43,1,3,5435.51,3460.4,10,5,0.834,False,0.749
REQ-00000086,CUST-46307,enterprise,call_center,1147,7,0,2,1475.72,251.2,845,2196,0.249,False,0.038
REQ-00000087,CUST-75775,enterprise,mobile,504,18,0,0,1226.96,265.5,130,1015,0.145,True,0.439
REQ-00000088,CUST-87969,small_business,partner_api,35,27,1,3,7726.48,1408.6,3,24,0.718,False,0.863
REQ-00000089,CUST-62678,enterprise,partner_api,273,8,0,1,1433.61,6.3,493,1591,0.242,True,0.261
REQ-00000090,CUST-29192,small_business,call_center,704,6,0,1,419.16,162.2,912,1732,0.299,True,0.087
REQ-00000091,CUST-35291,consumer,call_center,1626,2,0,0,729.97,236.0,562,1029,0.279,True,0.366
REQ-00000092,CUST-30763,consumer,web,1001,16,1,2,1676.99,82.9,468,1808,0.066,False,0.059
REQ-00000093,CUST-55316,consumer,call_center,1758,13,0,1,1481.7,315.2,632,1858,0.252,True,0.121
REQ-00000094,CUST-27131,enterprise,partner_api,937,9,0,0,419.43,165.7,314,1753,0.08,False,0.444
REQ-00000095,CUST-64822,enterprise,partner_api,1428,16,0,0,1764.86,128.9,503,422,0.328,True,0.34
REQ-00000096,CUST-96260,enterprise,call_center,1337,11,0,0,580.62,5.3,992,995,0.185,False,0.157
REQ-00000097,CUST-33402,small_business,web,1565,8,0,2,1360.0,52.1,1085,972,0.325,True,0.405
REQ-00000098,CUST-19746,consumer,partner_api,1360,12,0,0,1552.39,195.9,205,1629,0.073,True,0.155
REQ-00000099,CUST-66868,enterprise,web,762,18,0,1,1796.94,272.7,433,1140,0.272,True,0.291
REQ-00000100,CUST-84620,enterprise,mobile,8,31,4,4,5193.02,2441.4,6,42,0.95,True,0.821
REQ-00000101,CUST-89250,consumer,call_center,1507,11,0,0,553.38,274.1,372,1711,0.235,True,0.399
REQ-00000102,CUST-95791,enterprise,web,461,18,0,0,1413.47,262.8,810,1814,0.111,True,0.36
REQ-00000103,CUST-69747,enterprise,web,814,11,1,2,284.74,185.2,80,1541,0.07,True,0.051
REQ-00000104,CUST-75886,small_business,call_center,8,28,4,7,3707.01,1409.9,10,11,0.933,True,0.844
REQ-00000105,CUST-34234,enterprise,web,1727,6,0,0,703.8,279.0,362,332,0.084,True,0.153
REQ-00000106,CUST-66076,small_business,partner_api,5,20,3,7,6946.29,716.1,8,6,0.772,False,0.873
REQ-00000107,CUST-76735,small_business,call_center,259,3,0,2,1154.95,83.8,608,551,0.264,True,0.071
REQ-00000108,CUST-10602,consumer,web,1676,10,0,0,655.68,134.2,262,1730,0.239,True,0.261
REQ-00000109,CUST-99238,enterprise,partner_api,9,26,3,5,7870.97,1380.6,5,19,0.832,True,0.876
REQ-00000110,CUST-53665,enterprise,call_center,394,9,0,1,1289.49,334.8,468,1531,0.318,True,0.423
REQ-00000111,CUST-42432,enterprise,web,1320,8,1,2,1452.36,108.5,873,2426,0.299,True,0.167
REQ-00000112,CUST-92427,small_business,web,648,7,1,1,1309.85,257.4,745,2201,0.084,True,0.342
REQ-00000113,CUST-72452,consumer,mobile,466,14,0,0,399.86,210.3,163,2357,0.332,True,0.139
REQ-00000114,CUST-18677,consumer,partner_api,1066,7,0,1,1033.01,246.7,799,1228,0.328,True,0.048
REQ-00000115,CUST-46358,consumer,partner_api,25,54,4,3,6854.59,3414.9,7,45,0.686,False,0.721
REQ-00000116,CUST-74276,small_business,call_center,1473,16,1,2,699.3,78.3,899,397,0.288,True,0.448
REQ-00000117,CUST-78726,consumer,call_center,969,16,0,2,1688.16,62.3,1077,879,0.273,True,0.22
REQ-00000118,CUST-49633,consumer,call_center,1228,5,0,0,1529.87,205.7,607,1839,0.187,True,0.423
REQ-00000119,CUST-49914,enterprise,mobile,1209,7,0,0,581.38,158.6,275,2054,0.165,False,0.273
REQ-00000120,CUST-76974,consumer,mobile,1654,5,0,2,1790.64,123.1,1007,2328,0.24,True,0.34
REQ-00000121,CUST-64692,enterprise,call_center,1769,9,0,0,495.39,10.1,263,239,0.305,True,0.162
REQ-00000122,CUST-66778,enterprise,mobile,1409,12,0,1,468.04,207.1,762,2497,0.108,True,0.223
REQ-00000123,CUST-93952,small_business,partner_api,1342,6,1,0,719.79,15.5,536,459,0.294,True,0.036
REQ-00000124,CUST-83815,small_business,partner_api,1003,1,0,1,897.43,109.0,394,2365,0.229,True,0.39
REQ-00000125,CUST-27152,small_business,partner_api,1676,7,0,1,524.92,331.2,323,2005,0.186,True,0.061
REQ-00000126,CUST-69650,enterprise,call_center,1714,13,0,2,1584.16,201.7,192,179,0.108,False,0.092
REQ-00000127,CUST-88007,enterprise,mobile,36,48,2,7,7810.65,3947.6,8,14,0.746,True,0.699
REQ-00000128,CUST-50306,enterprise,mobile,1126,18,0,0,1036.27,272.8,217,901,0.225,True,0.35
REQ-00000129,CUST-41455,consumer,partner_api,1777,17,1,0,1338.2,190.0,1089,2372,0.306,True,0.046
REQ-00000130,CUST-31809,consumer,mobile,1281,14,1,0,1643.11,229.1,501,1790,0.349,True,0.164
REQ-00000131,CUST-32316,consumer,mobile,533,1,0,1,970.06,197.7,494,281,0.209,True,0.225
REQ-00000132,CUST-57925,consumer,call_center,757,3,0,2,886.59,31.0,676,1427,0.295,True,0.407
REQ-00000133,CUST-98046,consumer,web,1017,3,1,0,715.34,135.8,502,2030,0.19,True,0.293
REQ-00000134,CUST-69765,consumer,mobile,287,1,1,1,877.76,50.7,670,403,0.303,True,0.247
REQ-00000135,CUST-33389,consumer,call_center,29,40,2,5,2022.8,3584.0,5,34,0.738,False,0.744
REQ-00000136,CUST-57652,small_business,partner_api,1130,1,1,0,1153.29,40.2,313,2173,0.288,True,0.076
REQ-00000137,CUST-19375,enterprise,web,711,15,0,2,604.8,120.7,493,467,0.073,True,0.334
REQ-00000138,CUST-96233,enterprise,mobile,3,26,4,5,2855.56,4108.0,4,21,0.562,True,0.899
REQ-00000139,CUST-61905,consumer,call_center,950,16,1,0,1252.83,132.1,250,1287,0.085,True,0.105
REQ-00000140,CUST-72926,consumer,partner_api,421,18,1,0,257.77,195.2,471,152,0.276,True,0.428
REQ-00000141,CUST-64885,small_business,mobile,464,1,0,1,775.52,345.4,869,2023,0.191,True,0.156
REQ-00000142,CUST-99513,small_business,web,1176,13,0,2,1604.47,227.2,784,331,0.342,False,0.074
REQ-00000143,CUST-15861,enterprise,web,706,2,0,0,661.86,349.2,180,2104,0.334,True,0.058
REQ-00000144,CUST-55039,consumer,mobile,28,35,1,4,6688.52,2406.6,3,22,0.735,False,0.862
REQ-00000145,CUST-19995,small_business,partner_api,1029,10,0,2,1742.04,276.9,720,686,0.137,True,0.195
REQ-00000146,CUST-98981,small_business,mobile,19,48,1,7,8394.37,2186.9,9,38,0.643,False,0.922
REQ-00000147,CUST-94866,consumer,partner_api,1462,2,1,0,1699.5,79.7,88,929,0.081,True,0.154
REQ-00000148,CUST-56533,enterprise,call_center,1137,8,1,1,975.28,237.3,836,1028,0.275,True,0.195
REQ-00000149,CUST-85689,enterprise,call_center,1270,6,0,0,883.13,84.9,309,1463,0.162,True,0.442
REQ-00000150,CUST-65546,enterprise,web,388,4,0,0,1296.77,55.7,1098,564,0.161,True,0.212
REQ-00000151,CUST-63692,small_business,call_center,1354,11,0,0,1435.28,277.3,1053,1690,0.337,True,0.265
REQ-00000152,CUST-41304,small_business,web,12,41,1,7,7121.56,4042.2,4,25,0.722,True,0.696
REQ-00000153,CUST-76625,consumer,web,5,48,4,4,3474.99,3256.2,9,14,0.808,False,0.953
REQ-00000154,CUST-56548,consumer,web,640,3,0,0,475.76,212.2,325,1078,0.329,True,0.096
REQ-00000155,CUST-27189,small_business,partner_api,487,10,0,1,1757.08,21.1,489,2193,0.254,True,0.172
REQ-00000156,CUST-93626,consumer,partner_api,21,54,4,3,7706.94,3708.8,6,23,0.796,True,0.978
REQ-00000157,CUST-48978,enterprise,mobile,755,12,0,0,1409.48,162.8,247,2259,0.252,True,0.378
REQ-00000158,CUST-20664,enterprise,call_center,1700,14,0,0,1280.85,300.5,686,2348,0.292,True,0.056
REQ-00000159,CUST-30796,consumer,mobile,721,7,1,2,338.79,138.7,965,1217,0.199,True,0.044
REQ-00000160,CUST-86152,enterprise,web,1728,18,0,1,1117.82,346.8,769,1532,0.225,True,0.357
REQ-00000161,CUST-86827,small_business,web,503,14,0,2,575.23,137.5,540,2106,0.247,True,0.046
REQ-00000162,CUST-85482,enterprise,call_center,1530,14,0,1,476.36,286.1,379,1650,0.345,True,0.303
REQ-00000163,CUST-74702,enterprise,partner_api,1115,11,0,0,1400.08,174.8,959,475,0.335,True,0.153
REQ-00000164,CUST-75605,consumer,web,218,17,0,0,916.26,134.2,891,2316,0.086,False,0.248
REQ-00000165,CUST-77351,small_business,call_center,256,14,0,0,1451.65,13.8,1061,267,0.102,True,0.177
REQ-00000166,CUST-28751,consumer,web,7,52,1,4,4912.48,2397.9,2,34,0.663,True,0.848
REQ-00000167,CUST-16301,enterprise,call_center,205,2,0,2,950.54,248.7,121,1061,0.263,True,0.341
REQ-00000168,CUST-90391,enterprise,call_center,20,41,2,3,8957.64,2554.7,7,34,0.728,False,0.755
REQ-00000169,CUST-92990,consumer,partner_api,746,5,0,0,1135.35,44.4,285,1401,0.08,True,0.065
REQ-00000170,CUST-34511,small_business,web,21,54,2,5,6104.87,2385.6,1,32,0.879,True,0.869
REQ-00000171,CUST-62123,enterprise,partner_api,1175,15,0,2,485.35,267.1,290,2214,0.288,True,0.37
REQ-00000172,CUST-47748,enterprise,web,258,3,0,0,345.78,14.6,416,814,0.143,True,0.203
REQ-00000173,CUST-57464,enterprise,partner_api,38,54,3,3,2815.4,2056.1,2,40,0.706,False,0.678
REQ-00000174,CUST-49829,enterprise,mobile,1,28,3,5,3911.47,496.2,6,16,0.652,False,0.943
REQ-00000175,CUST-60296,consumer,mobile,808,12,0,0,953.82,138.0,370,1280,0.28,True,0.183
REQ-00000176,CUST-75258,enterprise,web,1192,4,1,0,391.05,186.1,168,635,0.15,True,0.235
REQ-00000177,CUST-78570,consumer,mobile,1553,15,1,0,992.04,79.9,663,529,0.068,True,0.381
REQ-00000178,CUST-81198,consumer,partner_api,397,9,0,0,368.58,332.7,732,233,0.102,True,0.352
REQ-00000179,CUST-87710,consumer,web,1002,7,1,2,585.82,284.2,691,1888,0.238,True,0.031
REQ-00000180,CUST-88728,enterprise,mobile,20,46,4,5,3800.35,668.5,1,12,0.934,True,0.843
REQ-00000181,CUST-65017,enterprise,call_center,37,52,2,3,8404.46,2038.7,5,7,0.552,False,0.772
REQ-00000182,CUST-26793,enterprise,call_center,1799,16,1,0,414.57,193.4,992,504,0.272,True,0.046
REQ-00000183,CUST-41714,enterprise,mobile,421,2,0,0,508.56,303.4,496,209,0.266,True,0.292
REQ-00000184,CUST-77576,enterprise,web,794,16,0,1,1093.42,149.9,661,713,0.295,True,0.373
REQ-00000185,CUST-72762,enterprise,partner_api,894,1,0,1,1789.88,17.5,425,1674,0.162,True,0.411
REQ-00000186,CUST-33929,small_business,mobile,20,40,3,4,2766.99,527.0,6,0,0.672,False,0.917
REQ-00000187,CUST-59135,consumer,partner_api,1463,10,0,0,1738.34,181.4,687,853,0.237,True,0.22
REQ-00000188,CUST-15551,enterprise,web,927,16,0,0,1320.52,274.9,151,331,0.197,True,0.08
REQ-00000189,CUST-41355,small_business,call_center,1623,13,1,1,638.22,307.1,342,1134,0.29,True,0.215
REQ-00000190,CUST-38620,consumer,web,1275,2,0,0,1394.26,73.4,678,414,0.262,True,0.278
REQ-00000191,CUST-66222,enterprise,call_center,1788,2,1,2,583.86,174.1,1048,813,0.081,False,0.426
REQ-00000192,CUST-38875,enterprise,mobile,36,42,4,3,5855.65,948.1,5,7,0.723,False,0.971
REQ-00000193,CUST-84843,small_business,call_center,1470,10,0,0,1604.0,222.9,228,147,0.278,False,0.142
REQ-00000194,CUST-88002,small_business,call_center,1273,16,0,2,1079.26,278.6,482,803,0.137,True,0.294
REQ-00000195,CUST-19279,enterprise,mobile,1522,7,0,1,808.39,127.1,641,1543,0.211,True,0.205
REQ-00000196,CUST-73903,consumer,partner_api,13,44,2,4,6375.79,2145.3,7,44,0.78,False,0.804
REQ-00000197,CUST-75869,small_business,call_center,1077,6,0,2,1144.05,48.3,1051,2093,0.222,True,0.244
REQ-00000198,CUST-40523,small_business,mobile,41,37,2,3,5965.83,1426.2,3,36,0.976,True,0.684
REQ-00000199,CUST-89425,consumer,call_center,355,11,0,1,1246.64,193.6,607,2329,0.156,True,0.444
REQ-00000200,CUST-33727,small_business,mobile,939,6,0,0,1414.26,113.1,174,1076,0.166,True,0.133
REQ-00000201,CUST-90483,small_business,web,286,13,0,1,1055.12,96.2,672,1871,0.326,False,0.227
REQ-00000202,CUST-62846,consumer,partner_api,1496,12,0,0,1644.84,198.5,566,1151,0.077,True,0.205
REQ-00000203,CUST-15869,consumer,partner_api,1738,11,1,0,1097.25,184.6,951,554,0.234,True,0.151
REQ-00000204,CUST-81084,enterprise,mobile,1603,8,1,1,975.42,98.0,499,1943,0.216,True,0.08
REQ-00000205,CUST-16872,enterprise,mobile,1275,4,1,0,1245.17,299.4,265,803,0.111,True,0.434
REQ-00000206,CUST-77368,enterprise,partner_api,29,43,1,5,7061.2,3855.9,10,9,0.608,True,0.884
REQ-00000207,CUST-86900,consumer,call_center,1484,1,0,1,1748.82,236.8,555,729,0.105,False,0.08
REQ-00000208,CUST-21377,enterprise,mobile,413,18,1,0,995.61,132.9,833,2485,0.309,False,0.356
REQ-00000209,CUST-11115,enterprise,web,1325,3,1,2,1023.14,284.6,494,368,0.27,True,0.179
REQ-00000210,CUST-66826,consumer,partner_api,1161,17,0,1,813.81,103.5,115,1980,0.12,True,0.257
REQ-00000211,CUST-66199,enterprise,call_center,693,8,0,0,832.61,79.5,1000,374,0.341,True,0.217
REQ-00000212,CUST-57740,small_business,partner_api,1547,4,0,0,1281.95,289.1,933,2060,0.327,True,0.393
REQ-00000213,CUST-36394,enterprise,web,26,55,2,7,2165.83,3891.3,0,16,0.642,False,0.856
REQ-00000214,CUST-63614,consumer,web,345,2,0,2,275.92,99.5,563,1224,0.187,True,0.44
REQ-00000215,CUST-18570,small_business,web,1698,4,0,1,1255.17,335.2,504,824,0.239,True,0.066
REQ-00000216,CUST-19788,enterprise,partner_api,25,40,1,7,8520.36,3809.7,3,34,0.831,True,0.742
REQ-00000217,CUST-53778,consumer,web,1132,6,0,0,551.07,346.3,668,2265,0.179,True,0.198
REQ-00000218,CUST-87972,enterprise,mobile,387,15,0,0,1733.64,253.6,524,1426,0.075,False,0.075
REQ-00000219,CUST-51152,consumer,mobile,32,21,3,7,3709.68,3537.9,8,1,0.625,False,0.694
REQ-00000220,CUST-34572,consumer,call_center,1737,10,0,0,1265.06,347.3,923,817,0.154,True,0.394
REQ-00000221,CUST-27291,consumer,partner_api,1359,7,0,0,1531.33,299.6,180,638,0.282,True,0.284
REQ-00000222,CUST-24660,small_business,partner_api,1408,2,0,1,467.15,44.9,156,964,0.232,True,0.377
REQ-00000223,CUST-53828,small_business,web,360,9,1,2,618.2,106.7,856,1146,0.087,True,0.393
REQ-00000224,CUST-54433,enterprise,partner_api,279,5,0,1,1614.93,210.1,1027,2365,0.085,True,0.282
REQ-00000225,CUST-75948,small_business,call_center,1369,15,0,0,1396.69,174.3,262,2243,0.321,True,0.262
REQ-00000226,CUST-41480,small_business,mobile,618,6,0,1,775.19,55.8,625,2357,0.144,True,0.153
REQ-00000227,CUST-65499,small_business,partner_api,5,30,2,5,2007.77,3385.8,10,13,0.759,False,0.801
REQ-00000228,CUST-56213,consumer,mobile,1217,10,0,2,1584.98,65.1,693,1441,0.301,True,0.202
REQ-00000229,CUST-34646,enterprise,web,847,7,1,0,966.18,171.2,700,1560,0.06,True,0.13
REQ-00000230,CUST-33353,enterprise,web,1544,11,1,0,1697.79,344.9,623,1997,0.103,True,0.231
REQ-00000231,CUST-63766,consumer,mobile,33,43,1,4,2647.34,883.7,2,12,0.84,True,0.719
REQ-00000232,CUST-59511,small_business,mobile,39,34,2,5,3126.91,903.6,0,18,0.874,False,0.716
REQ-00000233,CUST-18277,enterprise,partner_api,691,15,0,0,371.15,195.9,826,449,0.097,True,0.046
REQ-00000234,CUST-96208,small_business,mobile,1251,7,0,0,436.59,80.3,914,1106,0.185,True,0.048
REQ-00000235,CUST-48892,enterprise,mobile,469,1,0,0,346.58,337.7,453,1265,0.218,False,0.382
REQ-00000236,CUST-67443,small_business,call_center,240,9,0,2,1182.53,100.1,1057,1853,0.107,True,0.22
REQ-00000237,CUST-39116,enterprise,partner_api,276,1,1,1,695.78,229.0,831,458,0.21,True,0.045
REQ-00000238,CUST-14337,enterprise,call_center,253,6,0,2,730.84,292.9,294,1517,0.29,True,0.196
REQ-00000239,CUST-64680,enterprise,web,1271,10,0,0,1764.45,61.0,550,2330,0.295,True,0.136
REQ-00000240,CUST-88028,enterprise,mobile,729,13,1,0,1130.6,72.9,1044,863,0.165,False,0.429
REQ-00000241,CUST-38644,consumer,partner_api,448,2,0,1,1063.24,181.7,98,1041,0.222,True,0.139
REQ-00000242,CUST-72665,enterprise,call_center,674,4,0,0,1143.5,65.2,376,2041,0.07,True,0.151
REQ-00000243,CUST-56490,consumer,call_center,1204,10,1,2,833.71,349.5,123,678,0.106,True,0.286
REQ-00000244,CUST-37283,small_business,call_center,1322,14,0,1,808.28,224.4,852,1515,0.097,True,0.236
REQ-00000245,CUST-97979,consumer,call_center,317,11,0,2,600.52,79.0,805,2242,0.244,True,0.255
REQ-00000246,CUST-23211,enterprise,partner_api,1637,12,1,1,1735.41,62.2,784,1400,0.156,True,0.388
REQ-00000247,CUST-12207,enterprise,mobile,735,17,1,2,630.25,347.7,319,1375,0.256,True,0.193
REQ-00000248,CUST-98043,consumer,web,519,11,1,1,368.46,137.1,220,1160,0.072,True,0.036
REQ-00000249,CUST-88181,enterprise,call_center,779,15,0,0,320.2,194.9,684,2178,0.314,True,0.42
REQ-00000250,CUST-17817,small_business,partner_api,820,12,0,0,1513.47,36.0,438,484,0.18,False,0.328
