date,year,month_number,month_name,year_month,quarter,week_start_date,day_of_week,is_weekend
2025-02-01,2025,2,Feb,2025-02,Q1,2025-01-27,Saturday,1
2025-02-02,2025,2,Feb,2025-02,Q1,2025-01-27,Sunday,1
2025-02-03,2025,2,Feb,2025-02,Q1,2025-02-03,Monday,0
2025-02-04,2025,2,Feb,2025-02,Q1,2025-02-03,Tuesday,0
2025-02-05,2025,2,Feb,2025-02,Q1,2025-02-03,Wednesday,0
2025-02-06,2025,2,Feb,2025-02,Q1,2025-02-03,Thursday,0
2025-02-07,2025,2,Feb,2025-02,Q1,2025-02-03,Friday,0
2025-02-08,2025,2,Feb,2025-02,Q1,2025-02-03,Saturday,1
2025-02-09,2025,2,Feb,2025-02,Q1,2025-02-03,Sunday,1
2025-02-10,2025,2,Feb,2025-02,Q1,2025-02-10,Monday,0
2025-02-11,2025,2,Feb,2025-02,Q1,2025-02-10,Tuesday,0
2025-02-12,2025,2,Feb,2025-02,Q1,2025-02-10,Wednesday,0
2025-02-13,2025,2,Feb,2025-02,Q1,2025-02-10,Thursday,0
2025-02-14,2025,2,Feb,2025-02,Q1,2025-02-10,Friday,0
2025-02-15,2025,2,Feb,2025-02,Q1,2025-02-10,Saturday,1
2025-02-16,2025,2,Feb,2025-02,Q1,2025-02-10,Sunday,1
2025-02-17,2025,2,Feb,2025-02,Q1,2025-02-17,Monday,0
2025-02-18,2025,2,Feb,2025-02,Q1,2025-02-17,Tuesday,0
2025-02-19,2025,2,Feb,2025-02,Q1,2025-02-17,Wednesday,0
2025-02-20,2025,2,Feb,2025-02,Q1,2025-02-17,Thursday,0
2025-02-21,2025,2,Feb,2025-02,Q1,2025-02-17,Friday,0
2025-02-22,2025,2,Feb,2025-02,Q1,2025-02-17,Saturday,1
2025-02-23,2025,2,Feb,2025-02,Q1,2025-02-17,Sunday,1
2025-02-24,2025,2,Feb,2025-02,Q1,2025-02-24,Monday,0
2025-02-25,2025,2,Feb,2025-02,Q1,2025-02-24,Tuesday,0
2025-02-26,2025,2,Feb,2025-02,Q1,2025-02-24,Wednesday,0
2025-02-27,2025,2,Feb,2025-02,Q1,2025-02-24,Thursday,0
2025-02-28,2025,2,Feb,2025-02,Q1,2025-02-24,Friday,0
2025-03-01,2025,3,Mar,2025-03,Q1,2025-02-24,Saturday,1
2025-03-02,2025,3,Mar,2025-03,Q1,2025-02-24,Sunday,1
2025-03-03,2025,3,Mar,2025-03,Q1,2025-03-03,Monday,0
2025-03-04,2025,3,Mar,2025-03,Q1,2025-03-03,Tuesday,0
2025-03-05,2025,3,Mar,2025-03,Q1,2025-03-03,Wednesday,0
2025-03-06,2025,3,Mar,2025-03,Q1,2025-03-03,Thursday,0
2025-03-07,2025,3,Mar,2025-03,Q1,2025-03-03,Friday,0
2025-03-08,2025,3,Mar,2025-03,Q1,2025-03-03,Saturday,1
2025-03-09,2025,3,Mar,2025-03,Q1,2025-03-03,Sunday,1
2025-03-10,2025,3,Mar,2025-03,Q1,2025-03-10,Monday,0
2025-03-11,2025,3,Mar,2025-03,Q1,2025-03-10,Tuesday,0
2025-03-12,2025,3,Mar,2025-03,Q1,2025-03-10,Wednesday,0
2025-03-13,2025,3,Mar,2025-03,Q1,2025-03-10,Thursday,0
2025-03-14,2025,3,Mar,2025-03,Q1,2025-03-10,Friday,0
2025-03-15,2025,3,Mar,2025-03,Q1,2025-03-10,Saturday,1
2025-03-16,2025,3,Mar,2025-03,Q1,2025-03-10,Sunday,1
2025-03-17,2025,3,Mar,2025-03,Q1,2025-03-17,Monday,0
2025-03-18,2025,3,Mar,2025-03,Q1,2025-03-17,Tuesday,0
2025-03-19,2025,3,Mar,2025-03,Q1,2025-03-17,Wednesday,0
2025-03-20,2025,3,Mar,2025-03,Q1,2025-03-17,Thursday,0
2025-03-21,2025,3,Mar,2025-03,Q1,2025-03-17,Friday,0
2025-03-22,2025,3,Mar,2025-03,Q1,2025-03-17,Saturday,1
2025-03-23,2025,3,Mar,2025-03,Q1,2025-03-17,Sunday,1
2025-03-24,2025,3,Mar,2025-03,Q1,2025-03-24,Monday,0
2025-03-25,2025,3,Mar,2025-03,Q1,2025-03-24,Tuesday,0
2025-03-26,2025,3,Mar,2025-03,Q1,2025-03-24,Wednesday,0
2025-03-27,2025,3,Mar,2025-03,Q1,2025-03-24,Thursday,0
2025-03-28,2025,3,Mar,2025-03,Q1,2025-03-24,Friday,0
2025-03-29,2025,3,Mar,2025-03,Q1,2025-03-24,Saturday,1
2025-03-30,2025,3,Mar,2025-03,Q1,2025-03-24,Sunday,1
2025-03-31,2025,3,Mar,2025-03,Q1,2025-03-31,Monday,0
2025-04-01,2025,4,Apr,2025-04,Q2,2025-03-31,Tuesday,0
2025-04-02,2025,4,Apr,2025-04,Q2,2025-03-31,Wednesday,0
2025-04-03,2025,4,Apr,2025-04,Q2,2025-03-31,Thursday,0
2025-04-04,2025,4,Apr,2025-04,Q2,2025-03-31,Friday,0
2025-04-05,2025,4,Apr,2025-04,Q2,2025-03-31,Saturday,1
2025-04-06,2025,4,Apr,2025-04,Q2,2025-03-31,Sunday,1
2025-04-07,2025,4,Apr,2025-04,Q2,2025-04-07,Monday,0
2025-04-08,2025,4,Apr,2025-04,Q2,2025-04-07,Tuesday,0
2025-04-09,2025,4,Apr,2025-04,Q2,2025-04-07,Wednesday,0
2025-04-10,2025,4,Apr,2025-04,Q2,2025-04-07,Thursday,0
2025-04-11,2025,4,Apr,2025-04,Q2,2025-04-07,Friday,0
2025-04-12,2025,4,Apr,2025-04,Q2,2025-04-07,Saturday,1
2025-04-13,2025,4,Apr,2025-04,Q2,2025-04-07,Sunday,1
2025-04-14,2025,4,Apr,2025-04,Q2,2025-04-14,Monday,0
2025-04-15,2025,4,Apr,2025-04,Q2,2025-04-14,Tuesday,0
2025-04-16,2025,4,Apr,2025-04,Q2,2025-04-14,Wednesday,0
2025-04-17,2025,4,Apr,2025-04,Q2,2025-04-14,Thursday,0
2025-04-18,2025,4,Apr,2025-04,Q2,2025-04-14,Friday,0
2025-04-19,2025,4,Apr,2025-04,Q2,2025-04-14,Saturday,1
2025-04-20,2025,4,Apr,2025-04,Q2,2025-04-14,Sunday,1
2025-04-21,2025,4,Apr,2025-04,Q2,2025-04-21,Monday,0
2025-04-22,2025,4,Apr,2025-04,Q2,2025-04-21,Tuesday,0
2025-04-23,2025,4,Apr,2025-04,Q2,2025-04-21,Wednesday,0
2025-04-24,2025,4,Apr,2025-04,Q2,2025-04-21,Thursday,0
2025-04-25,2025,4,Apr,2025-04,Q2,2025-04-21,Friday,0
2025-04-26,2025,4,Apr,2025-04,Q2,2025-04-21,Saturday,1
2025-04-27,2025,4,Apr,2025-04,Q2,2025-04-21,Sunday,1
2025-04-28,2025,4,Apr,2025-04,Q2,2025-04-28,Monday,0
2025-04-29,2025,4,Apr,2025-04,Q2,2025-04-28,Tuesday,0
2025-04-30,2025,4,Apr,2025-04,Q2,2025-04-28,Wednesday,0
2025-05-01,2025,5,May,2025-05,Q2,2025-04-28,Thursday,0
2025-05-02,2025,5,May,2025-05,Q2,2025-04-28,Friday,0
2025-05-03,2025,5,May,2025-05,Q2,2025-04-28,Saturday,1
2025-05-04,2025,5,May,2025-05,Q2,2025-04-28,Sunday,1
2025-05-05,2025,5,May,2025-05,Q2,2025-05-05,Monday,0
2025-05-06,2025,5,May,2025-05,Q2,2025-05-05,Tuesday,0
2025-05-07,2025,5,May,2025-05,Q2,2025-05-05,Wednesday,0
2025-05-08,2025,5,May,2025-05,Q2,2025-05-05,Thursday,0
2025-05-09,2025,5,May,2025-05,Q2,2025-05-05,Friday,0
2025-05-10,2025,5,May,2025-05,Q2,2025-05-05,Saturday,1
2025-05-11,2025,5,May,2025-05,Q2,2025-05-05,Sunday,1
2025-05-12,2025,5,May,2025-05,Q2,2025-05-12,Monday,0
2025-05-13,2025,5,May,2025-05,Q2,2025-05-12,Tuesday,0
2025-05-14,2025,5,May,2025-05,Q2,2025-05-12,Wednesday,0
2025-05-15,2025,5,May,2025-05,Q2,2025-05-12,Thursday,0
2025-05-16,2025,5,May,2025-05,Q2,2025-05-12,Friday,0
2025-05-17,2025,5,May,2025-05,Q2,2025-05-12,Saturday,1
2025-05-18,2025,5,May,2025-05,Q2,2025-05-12,Sunday,1
2025-05-19,2025,5,May,2025-05,Q2,2025-05-19,Monday,0
2025-05-20,2025,5,May,2025-05,Q2,2025-05-19,Tuesday,0
2025-05-21,2025,5,May,2025-05,Q2,2025-05-19,Wednesday,0
2025-05-22,2025,5,May,2025-05,Q2,2025-05-19,Thursday,0
2025-05-23,2025,5,May,2025-05,Q2,2025-05-19,Friday,0
2025-05-24,2025,5,May,2025-05,Q2,2025-05-19,Saturday,1
2025-05-25,2025,5,May,2025-05,Q2,2025-05-19,Sunday,1
2025-05-26,2025,5,May,2025-05,Q2,2025-05-26,Monday,0
2025-05-27,2025,5,May,2025-05,Q2,2025-05-26,Tuesday,0
2025-05-28,2025,5,May,2025-05,Q2,2025-05-26,Wednesday,0
2025-05-29,2025,5,May,2025-05,Q2,2025-05-26,Thursday,0
2025-05-30,2025,5,May,2025-05,Q2,2025-05-26,Friday,0
2025-05-31,2025,5,May,2025-05,Q2,2025-05-26,Saturday,1
2025-06-01,2025,6,Jun,2025-06,Q2,2025-05-26,Sunday,1
2025-06-02,2025,6,Jun,2025-06,Q2,2025-06-02,Monday,0
2025-06-03,2025,6,Jun,2025-06,Q2,2025-06-02,Tuesday,0
2025-06-04,2025,6,Jun,2025-06,Q2,2025-06-02,Wednesday,0
2025-06-05,2025,6,Jun,2025-06,Q2,2025-06-02,Thursday,0
2025-06-06,2025,6,Jun,2025-06,Q2,2025-06-02,Friday,0
2025-06-07,2025,6,Jun,2025-06,Q2,2025-06-02,Saturday,1
2025-06-08,2025,6,Jun,2025-06,Q2,2025-06-02,Sunday,1
2025-06-09,2025,6,Jun,2025-06,Q2,2025-06-09,Monday,0
2025-06-10,2025,6,Jun,2025-06,Q2,2025-06-09,Tuesday,0
2025-06-11,2025,6,Jun,2025-06,Q2,2025-06-09,Wednesday,0
2025-06-12,2025,6,Jun,2025-06,Q2,2025-06-09,Thursday,0
2025-06-13,2025,6,Jun,2025-06,Q2,2025-06-09,Friday,0
2025-06-14,2025,6,Jun,2025-06,Q2,2025-06-09,Saturday,1
2025-06-15,2025,6,Jun,2025-06,Q2,2025-06-09,Sunday,1
2025-06-16,2025,6,Jun,2025-06,Q2,2025-06-16,Monday,0
2025-06-17,2025,6,Jun,2025-06,Q2,2025-06-16,Tuesday,0
2025-06-18,2025,6,Jun,2025-06,Q2,2025-06-16,Wednesday,0
2025-06-19,2025,6,Jun,2025-06,Q2,2025-06-16,Thursday,0
2025-06-20,2025,6,Jun,2025-06,Q2,2025-06-16,Friday,0
2025-06-21,2025,6,Jun,2025-06,Q2,2025-06-16,Saturday,1
2025-06-22,2025,6,Jun,2025-06,Q2,2025-06-16,Sunday,1
2025-06-23,2025,6,Jun,2025-06,Q2,2025-06-23,Monday,0
2025-06-24,2025,6,Jun,2025-06,Q2,2025-06-23,Tuesday,0
2025-06-25,2025,6,Jun,2025-06,Q2,2025-06-23,Wednesday,0
2025-06-26,2025,6,Jun,2025-06,Q2,2025-06-23,Thursday,0
2025-06-27,2025,6,Jun,2025-06,Q2,2025-06-23,Friday,0
2025-06-28,2025,6,Jun,2025-06,Q2,2025-06-23,Saturday,1
2025-06-29,2025,6,Jun,2025-06,Q2,2025-06-23,Sunday,1
2025-06-30,2025,6,Jun,2025-06,Q2,2025-06-30,Monday,0
2025-07-01,2025,7,Jul,2025-07,Q3,2025-06-30,Tuesday,0
2025-07-02,2025,7,Jul,2025-07,Q3,2025-06-30,Wednesday,0
2025-07-03,2025,7,Jul,2025-07,Q3,2025-06-30,Thursday,0
2025-07-04,2025,7,Jul,2025-07,Q3,2025-06-30,Friday,0
2025-07-05,2025,7,Jul,2025-07,Q3,2025-06-30,Saturday,1
2025-07-06,2025,7,Jul,2025-07,Q3,2025-06-30,Sunday,1
2025-07-07,2025,7,Jul,2025-07,Q3,2025-07-07,Monday,0
2025-07-08,2025,7,Jul,2025-07,Q3,2025-07-07,Tuesday,0
2025-07-09,2025,7,Jul,2025-07,Q3,2025-07-07,Wednesday,0
2025-07-10,2025,7,Jul,2025-07,Q3,2025-07-07,Thursday,0
2025-07-11,2025,7,Jul,2025-07,Q3,2025-07-07,Friday,0
2025-07-12,2025,7,Jul,2025-07,Q3,2025-07-07,Saturday,1
2025-07-13,2025,7,Jul,2025-07,Q3,2025-07-07,Sunday,1
2025-07-14,2025,7,Jul,2025-07,Q3,2025-07-14,Monday,0
2025-07-15,2025,7,Jul,2025-07,Q3,2025-07-14,Tuesday,0
2025-07-16,2025,7,Jul,2025-07,Q3,2025-07-14,Wednesday,0
2025-07-17,2025,7,Jul,2025-07,Q3,2025-07-14,Thursday,0
2025-07-18,2025,7,Jul,2025-07,Q3,2025-07-14,Friday,0
2025-07-19,2025,7,Jul,2025-07,Q3,2025-07-14,Saturday,1
2025-07-20,2025,7,Jul,2025-07,Q3,2025-07-14,Sunday,1
2025-07-21,2025,7,Jul,2025-07,Q3,2025-07-21,Monday,0
2025-07-22,2025,7,Jul,2025-07,Q3,2025-07-21,Tuesday,0
2025-07-23,2025,7,Jul,2025-07,Q3,2025-07-21,Wednesday,0
2025-07-24,2025,7,Jul,2025-07,Q3,2025-07-21,Thursday,0
2025-07-25,2025,7,Jul,2025-07,Q3,2025-07-21,Friday,0
2025-07-26,2025,7,Jul,2025-07,Q3,2025-07-21,Saturday,1
2025-07-27,2025,7,Jul,2025-07,Q3,2025-07-21,Sunday,1
2025-07-28,2025,7,Jul,2025-07,Q3,2025-07-28,Monday,0
2025-07-29,2025,7,Jul,2025-07,Q3,2025-07-28,Tuesday,0
2025-07-30,2025,7,Jul,2025-07,Q3,2025-07-28,Wednesday,0
2025-07-31,2025,7,Jul,2025-07,Q3,2025-07-28,Thursday,0
2025-08-01,2025,8,Aug,2025-08,Q3,2025-07-28,Friday,0
2025-08-02,2025,8,Aug,2025-08,Q3,2025-07-28,Saturday,1
2025-08-03,2025,8,Aug,2025-08,Q3,2025-07-28,Sunday,1
2025-08-04,2025,8,Aug,2025-08,Q3,2025-08-04,Monday,0
2025-08-05,2025,8,Aug,2025-08,Q3,2025-08-04,Tuesday,0
2025-08-06,2025,8,Aug,2025-08,Q3,2025-08-04,Wednesday,0
2025-08-07,2025,8,Aug,2025-08,Q3,2025-08-04,Thursday,0
2025-08-08,2025,8,Aug,2025-08,Q3,2025-08-04,Friday,0
2025-08-09,2025,8,Aug,2025-08,Q3,2025-08-04,Saturday,1
2025-08-10,2025,8,Aug,2025-08,Q3,2025-08-04,Sunday,1
2025-08-11,2025,8,Aug,2025-08,Q3,2025-08-11,Monday,0
2025-08-12,2025,8,Aug,2025-08,Q3,2025-08-11,Tuesday,0
2025-08-13,2025,8,Aug,2025-08,Q3,2025-08-11,Wednesday,0
2025-08-14,2025,8,Aug,2025-08,Q3,2025-08-11,Thursday,0
2025-08-15,2025,8,Aug,2025-08,Q3,2025-08-11,Friday,0
2025-08-16,2025,8,Aug,2025-08,Q3,2025-08-11,Saturday,1
2025-08-17,2025,8,Aug,2025-08,Q3,2025-08-11,Sunday,1
2025-08-18,2025,8,Aug,2025-08,Q3,2025-08-18,Monday,0
2025-08-19,2025,8,Aug,2025-08,Q3,2025-08-18,Tuesday,0
2025-08-20,2025,8,Aug,2025-08,Q3,2025-08-18,Wednesday,0
2025-08-21,2025,8,Aug,2025-08,Q3,2025-08-18,Thursday,0
2025-08-22,2025,8,Aug,2025-08,Q3,2025-08-18,Friday,0
2025-08-23,2025,8,Aug,2025-08,Q3,2025-08-18,Saturday,1
2025-08-24,2025,8,Aug,2025-08,Q3,2025-08-18,Sunday,1
2025-08-25,2025,8,Aug,2025-08,Q3,2025-08-25,Monday,0
2025-08-26,2025,8,Aug,2025-08,Q3,2025-08-25,Tuesday,0
2025-08-27,2025,8,Aug,2025-08,Q3,2025-08-25,Wednesday,0
2025-08-28,2025,8,Aug,2025-08,Q3,2025-08-25,Thursday,0
2025-08-29,2025,8,Aug,2025-08,Q3,2025-08-25,Friday,0
2025-08-30,2025,8,Aug,2025-08,Q3,2025-08-25,Saturday,1
2025-08-31,2025,8,Aug,2025-08,Q3,2025-08-25,Sunday,1
2025-09-01,2025,9,Sep,2025-09,Q3,2025-09-01,Monday,0
2025-09-02,2025,9,Sep,2025-09,Q3,2025-09-01,Tuesday,0
2025-09-03,2025,9,Sep,2025-09,Q3,2025-09-01,Wednesday,0
2025-09-04,2025,9,Sep,2025-09,Q3,2025-09-01,Thursday,0
2025-09-05,2025,9,Sep,2025-09,Q3,2025-09-01,Friday,0
2025-09-06,2025,9,Sep,2025-09,Q3,2025-09-01,Saturday,1
2025-09-07,2025,9,Sep,2025-09,Q3,2025-09-01,Sunday,1
2025-09-08,2025,9,Sep,2025-09,Q3,2025-09-08,Monday,0
2025-09-09,2025,9,Sep,2025-09,Q3,2025-09-08,Tuesday,0
2025-09-10,2025,9,Sep,2025-09,Q3,2025-09-08,Wednesday,0
2025-09-11,2025,9,Sep,2025-09,Q3,2025-09-08,Thursday,0
2025-09-12,2025,9,Sep,2025-09,Q3,2025-09-08,Friday,0
2025-09-13,2025,9,Sep,2025-09,Q3,2025-09-08,Saturday,1
2025-09-14,2025,9,Sep,2025-09,Q3,2025-09-08,Sunday,1
2025-09-15,2025,9,Sep,2025-09,Q3,2025-09-15,Monday,0
2025-09-16,2025,9,Sep,2025-09,Q3,2025-09-15,Tuesday,0
2025-09-17,2025,9,Sep,2025-09,Q3,2025-09-15,Wednesday,0
2025-09-18,2025,9,Sep,2025-09,Q3,2025-09-15,Thursday,0
2025-09-19,2025,9,Sep,2025-09,Q3,2025-09-15,Friday,0
2025-09-20,2025,9,Sep,2025-09,Q3,2025-09-15,Saturday,1
2025-09-21,2025,9,Sep,2025-09,Q3,2025-09-15,Sunday,1
2025-09-22,2025,9,Sep,2025-09,Q3,2025-09-22,Monday,0
2025-09-23,2025,9,Sep,2025-09,Q3,2025-09-22,Tuesday,0
2025-09-24,2025,9,Sep,2025-09,Q3,2025-09-22,Wednesday,0
2025-09-25,2025,9,Sep,2025-09,Q3,2025-09-22,Thursday,0
2025-09-26,2025,9,Sep,2025-09,Q3,2025-09-22,Friday,0
2025-09-27,2025,9,Sep,2025-09,Q3,2025-09-22,Saturday,1
2025-09-28,2025,9,Sep,2025-09,Q3,2025-09-22,Sunday,1
2025-09-29,2025,9,Sep,2025-09,Q3,2025-09-29,Monday,0
2025-09-30,2025,9,Sep,2025-09,Q3,2025-09-29,Tuesday,0
2025-10-01,2025,10,Oct,2025-10,Q4,2025-09-29,Wednesday,0
2025-10-02,2025,10,Oct,2025-10,Q4,2025-09-29,Thursday,0
2025-10-03,2025,10,Oct,2025-10,Q4,2025-09-29,Friday,0
2025-10-04,2025,10,Oct,2025-10,Q4,2025-09-29,Saturday,1
2025-10-05,2025,10,Oct,2025-10,Q4,2025-09-29,Sunday,1
2025-10-06,2025,10,Oct,2025-10,Q4,2025-10-06,Monday,0
2025-10-07,2025,10,Oct,2025-10,Q4,2025-10-06,Tuesday,0
2025-10-08,2025,10,Oct,2025-10,Q4,2025-10-06,Wednesday,0
2025-10-09,2025,10,Oct,2025-10,Q4,2025-10-06,Thursday,0
2025-10-10,2025,10,Oct,2025-10,Q4,2025-10-06,Friday,0
2025-10-11,2025,10,Oct,2025-10,Q4,2025-10-06,Saturday,1
2025-10-12,2025,10,Oct,2025-10,Q4,2025-10-06,Sunday,1
2025-10-13,2025,10,Oct,2025-10,Q4,2025-10-13,Monday,0
2025-10-14,2025,10,Oct,2025-10,Q4,2025-10-13,Tuesday,0
2025-10-15,2025,10,Oct,2025-10,Q4,2025-10-13,Wednesday,0
2025-10-16,2025,10,Oct,2025-10,Q4,2025-10-13,Thursday,0
2025-10-17,2025,10,Oct,2025-10,Q4,2025-10-13,Friday,0
2025-10-18,2025,10,Oct,2025-10,Q4,2025-10-13,Saturday,1
2025-10-19,2025,10,Oct,2025-10,Q4,2025-10-13,Sunday,1
2025-10-20,2025,10,Oct,2025-10,Q4,2025-10-20,Monday,0
2025-10-21,2025,10,Oct,2025-10,Q4,2025-10-20,Tuesday,0
2025-10-22,2025,10,Oct,2025-10,Q4,2025-10-20,Wednesday,0
2025-10-23,2025,10,Oct,2025-10,Q4,2025-10-20,Thursday,0
2025-10-24,2025,10,Oct,2025-10,Q4,2025-10-20,Friday,0
2025-10-25,2025,10,Oct,2025-10,Q4,2025-10-20,Saturday,1
2025-10-26,2025,10,Oct,2025-10,Q4,2025-10-20,Sunday,1
2025-10-27,2025,10,Oct,2025-10,Q4,2025-10-27,Monday,0
2025-10-28,2025,10,Oct,2025-10,Q4,2025-10-27,Tuesday,0
2025-10-29,2025,10,Oct,2025-10,Q4,2025-10-27,Wednesday,0
2025-10-30,2025,10,Oct,2025-10,Q4,2025-10-27,Thursday,0
2025-10-31,2025,10,Oct,2025-10,Q4,2025-10-27,Friday,0
2025-11-01,2025,11,Nov,2025-11,Q4,2025-10-27,Saturday,1
2025-11-02,2025,11,Nov,2025-11,Q4,2025-10-27,Sunday,1
2025-11-03,2025,11,Nov,2025-11,Q4,2025-11-03,Monday,0
2025-11-04,2025,11,Nov,2025-11,Q4,2025-11-03,Tuesday,0
2025-11-05,2025,11,Nov,2025-11,Q4,2025-11-03,Wednesday,0
2025-11-06,2025,11,Nov,2025-11,Q4,2025-11-03,Thursday,0
2025-11-07,2025,11,Nov,2025-11,Q4,2025-11-03,Friday,0
2025-11-08,2025,11,Nov,2025-11,Q4,2025-11-03,Saturday,1
2025-11-09,2025,11,Nov,2025-11,Q4,2025-11-03,Sunday,1
2025-11-10,2025,11,Nov,2025-11,Q4,2025-11-10,Monday,0
2025-11-11,2025,11,Nov,2025-11,Q4,2025-11-10,Tuesday,0
2025-11-12,2025,11,Nov,2025-11,Q4,2025-11-10,Wednesday,0
2025-11-13,2025,11,Nov,2025-11,Q4,2025-11-10,Thursday,0
2025-11-14,2025,11,Nov,2025-11,Q4,2025-11-10,Friday,0
2025-11-15,2025,11,Nov,2025-11,Q4,2025-11-10,Saturday,1
2025-11-16,2025,11,Nov,2025-11,Q4,2025-11-10,Sunday,1
2025-11-17,2025,11,Nov,2025-11,Q4,2025-11-17,Monday,0
2025-11-18,2025,11,Nov,2025-11,Q4,2025-11-17,Tuesday,0
2025-11-19,2025,11,Nov,2025-11,Q4,2025-11-17,Wednesday,0
2025-11-20,2025,11,Nov,2025-11,Q4,2025-11-17,Thursday,0
2025-11-21,2025,11,Nov,2025-11,Q4,2025-11-17,Friday,0
2025-11-22,2025,11,Nov,2025-11,Q4,2025-11-17,Saturday,1
2025-11-23,2025,11,Nov,2025-11,Q4,2025-11-17,Sunday,1
2025-11-24,2025,11,Nov,2025-11,Q4,2025-11-24,Monday,0
2025-11-25,2025,11,Nov,2025-11,Q4,2025-11-24,Tuesday,0
2025-11-26,2025,11,Nov,2025-11,Q4,2025-11-24,Wednesday,0
2025-11-27,2025,11,Nov,2025-11,Q4,2025-11-24,Thursday,0
2025-11-28,2025,11,Nov,2025-11,Q4,2025-11-24,Friday,0
2025-11-29,2025,11,Nov,2025-11,Q4,2025-11-24,Saturday,1
2025-11-30,2025,11,Nov,2025-11,Q4,2025-11-24,Sunday,1
2025-12-01,2025,12,Dec,2025-12,Q4,2025-12-01,Monday,0
2025-12-02,2025,12,Dec,2025-12,Q4,2025-12-01,Tuesday,0
2025-12-03,2025,12,Dec,2025-12,Q4,2025-12-01,Wednesday,0
2025-12-04,2025,12,Dec,2025-12,Q4,2025-12-01,Thursday,0
2025-12-05,2025,12,Dec,2025-12,Q4,2025-12-01,Friday,0
2025-12-06,2025,12,Dec,2025-12,Q4,2025-12-01,Saturday,1
2025-12-07,2025,12,Dec,2025-12,Q4,2025-12-01,Sunday,1
2025-12-08,2025,12,Dec,2025-12,Q4,2025-12-08,Monday,0
2025-12-09,2025,12,Dec,2025-12,Q4,2025-12-08,Tuesday,0
2025-12-10,2025,12,Dec,2025-12,Q4,2025-12-08,Wednesday,0
2025-12-11,2025,12,Dec,2025-12,Q4,2025-12-08,Thursday,0
2025-12-12,2025,12,Dec,2025-12,Q4,2025-12-08,Friday,0
2025-12-13,2025,12,Dec,2025-12,Q4,2025-12-08,Saturday,1
2025-12-14,2025,12,Dec,2025-12,Q4,2025-12-08,Sunday,1
2025-12-15,2025,12,Dec,2025-12,Q4,2025-12-15,Monday,0
2025-12-16,2025,12,Dec,2025-12,Q4,2025-12-15,Tuesday,0
2025-12-17,2025,12,Dec,2025-12,Q4,2025-12-15,Wednesday,0
2025-12-18,2025,12,Dec,2025-12,Q4,2025-12-15,Thursday,0
2025-12-19,2025,12,Dec,2025-12,Q4,2025-12-15,Friday,0
2025-12-20,2025,12,Dec,2025-12,Q4,2025-12-15,Saturday,1
2025-12-21,2025,12,Dec,2025-12,Q4,2025-12-15,Sunday,1
2025-12-22,2025,12,Dec,2025-12,Q4,2025-12-22,Monday,0
2025-12-23,2025,12,Dec,2025-12,Q4,2025-12-22,Tuesday,0
2025-12-24,2025,12,Dec,2025-12,Q4,2025-12-22,Wednesday,0
